MoleculeType	Identifier	MoleculeName	
Proteins	P19320	UniProt:P19320 VCAM1	
Proteins	P13591	UniProt:P13591 NCAM1	
Proteins	Q9UDY6	UniProt:Q9UDY6 TRIM10	
Proteins	Q14134	UniProt:Q14134 TRIM29	
Proteins	Q7Z4K8	UniProt:Q7Z4K8 TRIM46	
Proteins	Q9UPQ4	UniProt:Q9UPQ4 TRIM35	
Proteins	Q8IWZ4	UniProt:Q8IWZ4 TRIM48	
Proteins	Q9C040	UniProt:Q9C040 TRIM2	
Proteins	Q14142	UniProt:Q14142 TRIM14	
Proteins	Q9H8W5	UniProt:Q9H8W5 TRIM45	
Proteins	Q9Y577	UniProt:Q9Y577 TRIM17	
Proteins	O75382	UniProt:O75382 TRIM3	
Proteins	Q9C030	UniProt:Q9C030 TRIM6	
Proteins	Q9BVG3	UniProt:Q9BVG3 TRIM62	
Proteins	Q9C035	UniProt:Q9C035 TRIM5	
Proteins	Q6AZZ1	UniProt:Q6AZZ1 TRIM68	
Proteins	Q9BZY9	UniProt:Q9BZY9 TRIM31	
Proteins	O00635	UniProt:O00635 TRIM38	
Proteins	Q12899	UniProt:Q12899 TRIM26	
Proteins	P29590	UniProt:P29590 PML	
Proteins	O15344	UniProt:O15344 MID1	
Proteins	Q8IYM9	UniProt:Q8IYM9 TRIM22	
Proteins	Q9BYJ4	UniProt:Q9BYJ4 TRIM34	
Proteins	Q9BZR9	UniProt:Q9BZR9 TRIM8	
Proteins	P19474	UniProt:P19474 TRIM21	
Proteins	P02795	UniProt:P02795 MT2A	
Proteins	P23497	UniProt:P23497 SP100	
Proteins	P25105	UniProt:P25105 PTAFR	
Proteins	P13284	UniProt:P13284 IFI30	
Proteins	P61769	UniProt:P61769 B2M	
Proteins	P33076	UniProt:P33076 CIITA	
Proteins	P17706-2	UniProt:P17706-2 PTPN2	
Proteins	P63165	UniProt:P63165 SUMO1	
Proteins	O75925	UniProt:O75925 PIAS1	
Proteins	Q13554	UniProt:Q13554 CAMK2B	
Proteins	Q9UQM7	UniProt:Q9UQM7 CAMK2A	
Proteins	Q13557	UniProt:Q13557 CAMK2D	
Proteins	Q13555	UniProt:Q13555 CAMK2G	
Proteins	Q05655	UniProt:Q05655 PRKCD	
